Variation,error_flag
Test,0
Test,0
Test,0
Control,2
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Test,0
Test,0
Test,2
Control,0
Test,0
Test,3
Test,0
Test,1
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,1
Test,0
Test,0
Test,1
Control,0
Control,0
Test,0
Test,0
Test,0
Control,0
Control,1
Control,0
Test,0
Test,0
Test,0
Test,0
Test,1
Test,0
Test,0
Control,0
Control,0
Test,0
Test,0
Test,1
Test,0
Control,0
Test,0
Control,0
Control,0
Control,0
Control,3
Test,0
Test,1
Test,0
Control,0
Test,1
Test,0
Test,1
Test,0
Control,0
Test,0
Control,0
Control,0
Test,0
Test,1
Test,0
Control,3
Test,3
Control,0
Control,0
Control,0
Test,0
Test,0
Control,0
Test,0
Test,0
Control,0
Control,0
Control,0
Control,0
Test,0
Test,0
Test,1
Test,0
Control,0
Test,0
Control,1
Test,0
Control,1
Control,0
Test,1
Control,0
Test,2
Test,0
Test,0
Test,3
Test,1
Control,0
Test,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Test,2
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Test,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Test,0
Test,1
Test,0
Test,0
Test,0
Control,1
Control,0
Test,1
Control,0
Control,0
Control,0
Control,0
Control,1
Test,4
Test,3
Control,0
Test,2
Test,0
Test,0
Control,0
Test,1
Control,0
Test,1
Test,0
Control,2
Test,0
Test,0
Test,0
Control,0
Control,0
Test,4
Test,1
Test,1
Control,0
Control,0
Control,0
Control,0
Control,2
Control,0
Test,0
Test,0
Control,2
Control,2
Control,0
Control,0
Control,0
Test,0
Control,0
Test,2
Test,3
Test,1
Test,0
Test,0
Control,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Control,0
Control,1
Test,0
Test,0
Test,0
Control,0
Control,0
Test,0
Control,1
Test,0
Control,2
Control,0
Control,0
Test,0
Test,1
Test,0
Control,0
Control,0
Control,0
Control,0
Test,0
Test,0
Test,0
Control,0
Control,1
Control,0
Control,0
Control,3
Control,0
Test,0
Test,0
Control,0
Control,0
Test,0
Test,1
Test,0
Test,0
Test,1
Control,0
Control,0
Control,1
Test,0
Test,0
Test,3
Test,0
Test,1
Control,1
Test,0
Test,1
Test,0
Test,1
Control,0
Test,1
Test,0
Control,0
Control,0
Test,4
Test,0
Test,2
Control,0
Control,0
Test,0
Test,0
Control,3
Test,0
Test,0
Test,0
Control,1
Test,0
Control,0
Control,0
Control,3
Control,0
Test,0
Control,2
Test,2
Control,1
Test,1
Test,0
Test,0
Test,0
Test,0
Control,0
Control,0
Control,0
Test,0
Test,1
Test,0
Control,0
Control,0
Test,0
Test,0
Test,1
Test,2
Test,1
Test,0
Test,0
Test,3
Control,2
Control,1
Control,0
Test,0
Test,1
Test,1
Test,1
Test,0
Test,1
Test,0
Test,0
Test,0
Test,0
Test,1
Test,0
Test,0
Test,0
Test,0
Control,0
Control,0
Control,0
Test,0
Control,1
Control,0
Test,0
Control,0
Test,0
Control,0
Test,0
Test,0
Test,0
Test,1
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Control,0
Control,0
Test,0
Test,0
Test,1
Control,0
Control,0
Control,0
Test,0
Test,0
Control,0
Control,0
Test,0
Test,0
Control,0
Control,2
Control,0
Test,1
Control,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,0
Test,1
Test,1
Test,0
Control,0
Test,1
Test,0
Control,1
